Date,Open,High,Low,Close,Adj Close,Volume
3/1/1997,417.459991,429.869995,397.950012,398.190002,398.190002,0
4/1/1997,398.190002,420.320007,386.730011,419.149994,419.149994,0
5/1/1997,419.149994,446.609985,415.529999,445.059998,445.059998,0
6/1/1997,445.059998,472.160004,440.529999,462.950012,462.950012,0
7/1/1997,462.950012,501.440002,462.950012,499.890015,499.890015,0
8/1/1997,499.890015,505.660004,470.820007,475.329987,475.329987,0
9/1/1997,475.329987,507.290009,475.329987,500.779999,500.779999,0
10/1/1997,502.890015,518.97998,453.01001,483.859985,483.859985,0
11/1/1997,483.859985,508.519989,475.910004,504.25,504.25,0
12/1/1997,504.25,520.669983,489.299988,513.789978,513.789978,0
1/1/1998,513.789978,522.900024,482.290009,517.02002,517.02002,0
2/1/1998,517.02002,554.330017,517.02002,553.140015,553.140015,0
3/1/1998,553.140015,585.880005,543.630005,580.309998,580.309998,0
4/1/1998,580.309998,596.460022,566.549988,585.460022,585.460022,0
5/1/1998,585.460022,594.809998,563.47998,572.159973,572.159973,0
6/1/1998,572.109985,598.190002,562.950012,592.570007,592.570007,0
7/1/1998,592.570007,621.919983,582.169983,584.969971,584.969971,0
8/1/1998,584.969971,585.130005,496.660004,496.660004,496.660004,0
9/1/1998,496.660004,553.609985,487.269989,529.109985,529.109985,0
10/1/1998,529.109985,572.97998,476.519989,570.630005,570.630005,0
11/1/1998,570.630005,620.190002,570.630005,605.309998,605.309998,0
12/1/1998,605.309998,647.219971,591,642.869995,642.869995,0
1/1/1999,642.869995,667.710022,631.26001,665.640015,665.640015,0
2/1/1999,665.640015,667.859985,630.320007,643.669983,643.669983,0
3/1/1999,643.669983,685.320007,633.150024,667.48999,667.48999,0
4/1/1999,667.48999,712.679993,665.369995,695.25,695.25,0
5/1/1999,695.25,717.570007,666.47998,679.099976,679.099976,0
6/1/1999,679.099976,714.090027,666.340027,713.609985,713.609985,0
7/1/1999,713.599976,737.530029,690.340027,690.51001,690.51001,0
8/1/1999,690.51001,714.369995,655.47998,683.27002,683.27002,0
9/1/1999,683.27002,704.909973,650.530029,663.830017,663.830017,0
10/1/1999,663.830017,712.119995,639.159973,707.190002,707.190002,0
11/1/1999,707.190002,743.159973,699.780029,724.659973,724.659973,0
12/1/1999,724.659973,769.75,723.880005,767.969971,767.969971,0
1/1/2000,767.969971,773.940002,712.73999,736.080017,736.080017,0
2/1/2000,736.080017,764.320007,708.330017,733.039978,733.039978,0
3/1/2000,733.039978,826.76001,722.940002,797.98999,797.98999,0
4/1/2000,797.98999,810.619995,706.27002,771.580017,771.580017,0
5/1/2000,771.580017,786.190002,716.909973,750.97998,750.97998,0
6/1/2000,750.97998,790.27002,750.97998,769.679993,769.679993,0
7/1/2000,769.679993,806.219971,745.190002,755.570007,755.570007,0
8/1/2000,755.570007,814.929993,749.429993,811.169983,811.169983,0
9/1/2000,811.219971,818.26001,758.98999,772.599976,772.599976,0
10/1/2000,772.599976,778.549988,695.190002,763.059998,763.059998,0
11/1/2000,763.059998,771,681.830017,692.400024,692.400024,0
12/1/2000,692.400024,741.440002,662.219971,700.090027,700.090027,0
1/1/2001,700.090027,732.130005,670.76001,722.549988,722.549988,0
2/1/2001,722.549988,726.97998,641.72998,654.25,654.25,0
3/1/2001,654.25,669.909973,568.77002,610.359985,610.359985,0
4/1/2001,610.359985,669.039978,572.47998,658.900024,658.900024,0
5/1/2001,658.890015,695.719971,649.830017,662.390015,662.390015,0
6/1/2001,662.280029,679.809998,634.25,646.640015,646.640015,0
7/1/2001,646.929993,654.419983,613.169983,637.429993,637.429993,0
8/1/2001,637.429993,646,592.780029,597.669983,597.669983,0
9/1/2001,597.669983,609.039978,497.209991,546.460022,546.460022,0
10/1/2001,546.460022,583.5,538.969971,557.289978,557.289978,0
11/1/2001,557.289978,612.039978,554.119995,599.320007,599.320007,0
12/1/2001,599.320007,617.909973,583.23999,604.940002,604.940002,0
1/1/2002,604.940002,620.630005,572.440002,596.659973,596.659973,0
2/1/2002,596.659973,596.659973,567.109985,583.880005,583.880005,0
3/1/2002,583.880005,620.630005,583.880005,607.349976,607.349976,0
4/1/2002,607.349976,607.840027,564.630005,572.039978,572.039978,0
5/1/2002,572.039978,586.619995,556.51001,566.179993,566.179993,0
6/1/2002,566.179993,568.22998,503.660004,523.719971,523.719971,0
7/1/2002,523.710022,525.590027,412.480011,484.390015,484.390015,0
