,Date,Open,High,Low,Close,Adj Close,Volume,Stock_Symbol
0,9/25/2019,137.5,139.960007,136.029999,139.360001,136.007828,21382000,MSFT
1,9/26/2019,139.440002,140.179993,138.440002,139.539993,136.183548,17456600,MSFT
2,9/27/2019,140.149994,140.360001,136.649994,137.729996,134.417068,22477700,MSFT
3,9/30/2019,138.050003,139.220001,137.779999,139.029999,135.685791,17280900,MSFT
4,10/1/2019,139.660004,140.25,137,137.070007,133.772964,21466600,MSFT
5,10/2/2019,136.25,136.369995,133.580002,134.649994,131.411148,30521700,MSFT
6,10/3/2019,134.949997,136.75,133.220001,136.279999,133.001953,24132900,MSFT
7,10/4/2019,136.75,138.25,136.419998,138.119995,134.797668,22897700,MSFT
8,10/7/2019,137.139999,138.179993,137.020004,137.119995,133.821732,15303700,MSFT
9,10/8/2019,137.080002,137.759995,135.619995,135.669998,132.406616,25550500,MSFT
10,10/9/2019,137.460007,138.699997,136.970001,138.240005,134.914825,19749900,MSFT
11,10/10/2019,138.490005,139.669998,138.25,139.100006,135.754135,17654600,MSFT
12,10/11/2019,140.119995,141.029999,139.5,139.679993,136.32016,25446000,MSFT
13,10/14/2019,139.690002,140.289993,139.520004,139.550003,136.193283,13304300,MSFT
14,10/15/2019,140.059998,141.789993,139.809998,141.570007,138.164719,19695700,MSFT
15,10/16/2019,140.789993,140.990005,139.529999,140.410004,137.032608,20751600,MSFT
16,10/17/2019,140.949997,141.419998,139.020004,139.690002,136.329926,21460600,MSFT
17,10/18/2019,139.759995,140,136.559998,137.410004,134.104767,32273500,MSFT
18,10/21/2019,138.449997,138.5,137.009995,138.429993,135.10022,20078200,MSFT
19,10/22/2019,138.970001,140.009995,136.259995,136.369995,133.089798,27431000,MSFT
20,10/23/2019,136.880005,137.449997,135.610001,137.240005,133.938828,29844600,MSFT
21,10/24/2019,139.389999,140.419998,138.669998,139.940002,136.573929,37029300,MSFT
22,10/25/2019,139.339996,141.139999,139.199997,140.729996,137.344894,25959700,MSFT
23,10/28/2019,144.399994,145.669998,143.509995,144.190002,140.721695,35280100,MSFT
24,10/29/2019,144.080002,144.5,142.649994,142.830002,139.394409,20589500,MSFT
25,10/30/2019,143.520004,145,142.789993,144.610001,141.131592,18496600,MSFT
26,10/31/2019,144.899994,144.929993,142.990005,143.369995,139.921387,24605100,MSFT
27,11/1/2019,144.259995,144.419998,142.970001,143.720001,140.263,33128400,MSFT
28,11/4/2019,144.830002,145,144.160004,144.550003,141.073013,16912000,MSFT
29,11/5/2019,144.970001,145.020004,143.910004,144.460007,140.985184,18250200,MSFT
30,11/6/2019,144.369995,144.520004,143.199997,144.059998,140.594818,16575800,MSFT
31,11/7/2019,143.839996,144.880005,143.770004,144.259995,140.789993,17786700,MSFT
32,11/8/2019,143.979996,145.990005,143.759995,145.960007,142.449127,16732700,MSFT
33,11/11/2019,145.339996,146.419998,144.729996,146.110001,142.595505,14362600,MSFT
34,11/12/2019,146.279999,147.570007,146.059998,147.070007,143.532425,18641600,MSFT
35,11/13/2019,146.740005,147.460007,146.279999,147.309998,143.766617,16919200,MSFT
36,11/14/2019,147.020004,148.410004,147,148.059998,144.498566,19729800,MSFT
37,11/15/2019,148.929993,149.990005,148.270004,149.970001,146.36264,23485700,MSFT
38,11/18/2019,150.070007,150.550003,148.979996,150.339996,146.72374,21534000,MSFT
39,11/19/2019,150.880005,151.330002,150.199997,150.389999,146.772552,23935700,MSFT
40,11/20/2019,150.309998,150.839996,148.460007,149.619995,146.517944,25696800,MSFT
41,11/21/2019,149.399994,149.800003,148.5,149.479996,146.380844,18576100,MSFT
42,11/22/2019,150.070007,150.300003,148.820007,149.589996,146.488556,15901800,MSFT
43,11/25/2019,150,151.350006,149.919998,151.229996,148.094559,22420900,MSFT
44,11/26/2019,151.360001,152.419998,151.320007,152.029999,148.877975,24620100,MSFT
45,11/27/2019,152.330002,152.5,151.520004,152.320007,149.161987,15184400,MSFT
46,11/29/2019,152.100006,152.300003,151.279999,151.380005,148.241425,11977300,MSFT
47,12/2/2019,151.809998,151.830002,148.320007,149.550003,146.449402,27418400,MSFT
48,12/3/2019,147.490005,149.429993,146.649994,149.309998,146.214371,24066000,MSFT
49,12/4/2019,150.139999,150.179993,149.199997,149.850006,146.743179,17574700,MSFT
50,12/5/2019,150.050003,150.320007,149.479996,149.929993,146.821487,17869100,MSFT
51,12/6/2019,150.990005,151.869995,150.270004,151.75,148.60379,16403500,MSFT
52,12/9/2019,151.070007,152.210007,150.910004,151.360001,148.221878,16687400,MSFT
53,12/10/2019,151.289993,151.889999,150.759995,151.130005,147.996613,16476100,MSFT
54,12/11/2019,151.539993,151.869995,150.330002,151.699997,148.55481,18856600,MSFT
55,12/12/2019,151.649994,153.440002,151.020004,153.240005,150.062912,24612100,MSFT
56,12/13/2019,153,154.889999,152.830002,154.529999,151.326157,23845400,MSFT
57,12/16/2019,155.110001,155.899994,154.820007,155.529999,152.30542,24144200,MSFT
58,12/17/2019,155.449997,155.710007,154.449997,154.690002,151.482849,25425600,MSFT
59,12/18/2019,154.300003,155.479996,154.179993,154.369995,151.169464,24129200,MSFT
60,12/19/2019,154,155.770004,153.75,155.710007,152.481705,24958900,MSFT
61,12/20/2019,157.350006,158.490005,156.289993,157.410004,154.146439,53477500,MSFT
62,12/23/2019,158.119995,158.119995,157.270004,157.410004,154.146439,17718200,MSFT
63,12/24/2019,157.479996,157.710007,157.119995,157.380005,154.117065,8989200,MSFT
64,12/26/2019,157.559998,158.729996,157.399994,158.669998,155.380295,14520600,MSFT
65,12/27/2019,159.449997,159.550003,158.220001,158.960007,155.664307,18412800,MSFT
66,12/30/2019,158.990005,159.020004,156.729996,157.589996,154.322708,16348400,MSFT
67,12/31/2019,156.770004,157.770004,156.449997,157.699997,154.43042,18369400,MSFT
68,1/2/2020,158.779999,160.729996,158.330002,160.619995,157.289902,22622100,MSFT
